"image_1","image_2","image_3","Артикул","Цвет","Материал верха","Материал подкладки","Размер","Стелька","Сегмент","Марка","Тип обуви","Кр. описание"
"/ss-2015/857230-02-03W.jpg","/ss-2015/857230-02-03W_02.jpg","/ss-2015/857230-02-03W_03.jpg","857230/02-03W","синий","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857259-09-02W.jpg","/ss-2015/857259-09-02W_02.jpg","/ss-2015/857259-09-02W_03.jpg","857259/09-02W","синий","иск.нубук","текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857259-09-03W.jpg","/ss-2015/857259-09-03W_02.jpg","/ss-2015/857259-09-03W_03.jpg","857259/09-03W","бежевый","иск.нубук","текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857259-13-02W.jpg","/ss-2015/857259-13-02W_02.jpg","/ss-2015/857259-13-02W_03.jpg","857259/13-02W","кэмел","иск.нубук","нат.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857259-13-03W.jpg","/ss-2015/857259-13-03W_02.jpg","/ss-2015/857259-13-03W_03.jpg","857259/13-03W","белый","иск.кожа","нат.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857259-13-06W.jpg","/ss-2015/857259-13-06W_02.jpg","/ss-2015/857259-13-06W_03.jpg","857259/13-06W","т.синий","иск.нубук","нат.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857260-01-03W.jpg","/ss-2015/857260-01-03W_02.jpg","/ss-2015/857260-01-03W_03.jpg","857260/01-03W","т.синий","текстиль/иск.кожа лак","нат.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857260-02-07W.jpg","/ss-2015/857260-02-07W_02.jpg","/ss-2015/857260-02-07W_03.jpg","857260/02-07W","мятный","иск.кожа/иск.кожа лак","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857260-02-09W.jpg","/ss-2015/857260-02-09W_02.jpg","/ss-2015/857260-02-09W_03.jpg","857260/02-09W","коралловый","иск.кожа/иск.кожа лак","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857260-09-02W.jpg","/ss-2015/857260-09-02W_02.jpg","/ss-2015/857260-09-02W_03.jpg","857260/09-02W","синий","иск.нубук","текстиль","36-40","нат.кожа","женские","KEDDO","полуботинки",
"/ss-2015/857265-02-08W.jpg","/ss-2015/857265-02-08W_02.jpg","/ss-2015/857265-02-08W_03.jpg","857265/02-08W","красный","иск.нубук","нат.кожа/текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857265-02-09W.jpg","/ss-2015/857265-02-09W_02.jpg","/ss-2015/857265-02-09W_03.jpg","857265/02-09W","желтый","иск.нубук","нат.кожа/текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857265-02-10W.jpg","/ss-2015/857265-02-10W_02.jpg","/ss-2015/857265-02-10W_03.jpg","857265/02-10W","зеленый","иск.нубук","нат.кожа/текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857265-03-08W.jpg","/ss-2015/857265-03-08W_02.jpg","/ss-2015/857265-03-08W_03.jpg","857265/03-08W","св.бежевый","иск.нубук","нат.кожа/текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857265-06-05W.jpg","/ss-2015/857265-06-05W_02.jpg","/ss-2015/857265-06-05W_03.jpg","857265/06-05W","белый","иск.кожа","нат.кожа/текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857265-06-06W.jpg","/ss-2015/857265-06-06W_02.jpg","/ss-2015/857265-06-06W_03.jpg","857265/06-06W","синий","иск.кожа","нат.кожа/текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857267-13-01W.jpg","/ss-2015/857267-13-01W_02.jpg","/ss-2015/857267-13-01W_03.jpg","857267/13-01W","белый","иск.кожа","текстиль","36-40","нат.кожа","женские","KEDDO","сапоги",
"/ss-2015/857267-13-02W.jpg","/ss-2015/857267-13-02W_02.jpg","/ss-2015/857267-13-02W_03.jpg","857267/13-02W","бежевый","иск.нубук","текстиль","36-40","нат.кожа","женские","KEDDO","сапоги",
"/ss-2015/857267-13-08W.jpg","/ss-2015/857267-13-08W_02.jpg","/ss-2015/857267-13-08W_03.jpg","857267/13-08W","розовый","иск.кожа","текстиль","36-40","нат.кожа","женские","KEDDO","сапоги",
"/ss-2015/857267-16-03W.jpg","/ss-2015/857267-16-03W_02.jpg","/ss-2015/857267-16-03W_03.jpg","857267/16-03W","белый","иск.кожа","нат.кожа","36-40","нат.кожа","женские","KEDDO","туфли открытые",
"/ss-2015/857271-08-01W.jpg","/ss-2015/857271-08-01W_02.jpg","/ss-2015/857271-08-01W_03.jpg","857271/08-01W","т.синий","иск.нубук","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857271-08-05W.jpg","/ss-2015/857271-08-05W_02.jpg","/ss-2015/857271-08-05W_03.jpg","857271/08-05W","белый","иск.кожа","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857271-09-02W.jpg","/ss-2015/857271-09-02W_02.jpg","/ss-2015/857271-09-02W_03.jpg","857271/09-02W","синий","иск.нубук","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857273-05-03W.jpg","/ss-2015/857273-05-03W_02.jpg","/ss-2015/857273-05-03W_03.jpg","857273/05-03W","розовый","иск.нубук","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857273-05-05W.jpg","/ss-2015/857273-05-05W_02.jpg","/ss-2015/857273-05-05W_03.jpg","857273/05-05W","белый","иск.кожа","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857273-09-01W.jpg","/ss-2015/857273-09-01W_02.jpg","/ss-2015/857273-09-01W_03.jpg","857273/09-01W","синий/бежевый","иск.нубук","нат.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857273-10-01W.jpg","/ss-2015/857273-10-01W_02.jpg","/ss-2015/857273-10-01W_03.jpg","857273/10-01W","белый","иск.кожа","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857293-06-03W.jpg","/ss-2015/857293-06-03W_02.jpg","/ss-2015/857293-06-03W_03.jpg","857293/06-03W","мятный","иск.кожа","иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857335-02-01W.jpg","/ss-2015/857335-02-01W_02.jpg","/ss-2015/857335-02-01W_03.jpg","857335/02-01W","синий","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857335-02-03W.jpg","/ss-2015/857335-02-03W_02.jpg","/ss-2015/857335-02-03W_03.jpg","857335/02-03W","св.красный","текстиль","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857375-01-07W.jpg","/ss-2015/857375-01-07W_02.jpg","/ss-2015/857375-01-07W_03.jpg","857375/01-07W","белый","иск.кожа","текстиль","36-40","текстиль","женские","KEDDO","полуботинки",
"/ss-2015/857811-01-02W.jpg","/ss-2015/857811-01-02W_02.jpg","/ss-2015/857811-01-02W_03.jpg","857811/01-02W","белый","иск.кожа","нат.кожа/иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
